Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
16610445000,Kit 5 Pacotes Lenços Umedecidos 600 Toalhas Umedecidas 19x13cm Turminha da Bagunça C/Tampa Flip Top,"R$29,60","114,2mil",ATACADO DO LENÇO UMEDECIDO,8%,"R$2,37",https://shopee.com.br/product/604069672/16610445000,https://s.shopee.com.br/4AnsdzvHvs
23192462910,Tapete Termico Infantil Bebe Estampas Atividades Educativo Tapetinho Lavável,"R$26,99","72,2mil",lojachicchic,7%,"R$1,89",https://shopee.com.br/product/423598373/23192462910,https://s.shopee.com.br/40USRgvvGr
22997889580,Kit 8 Saquinhos Maternidade Multiuso Varias Cores Com Zíper Organizador Nécessaire,"R$20,90",44mil,J.R. Variedades,3%,"R$0,63",https://shopee.com.br/product/255636032/22997889580,https://s.shopee.com.br/4VQj2bu1Fy
22493000811,"Bomba de tira leite,Bomba Elétrica Portátil Para Leite Materno Recarregável","R$96,99","40,4mil",Fang.store,3%,"R$2,91",https://shopee.com.br/product/526596865/22493000811,https://s.shopee.com.br/4L7IqIueax
17301365970,Kit com 03 Pacotes de Toalhas Umedecidas Infância Feliz - 150 Folhas - Vegano - com tampa,"R$19,88","96,1mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$1,39",https://shopee.com.br/product/604069672/17301365970,https://s.shopee.com.br/4q3ZRDska4
23618360276,Lousa Mágica Tela Lcd Tablet Infantil De Escrever E Desenhar 8.5/10/12 Polegadas brinquedo infantil Para menina/menino,"R$10,90","123,2mil",ZSZ_Official Store,9%,"R$0,98",https://shopee.com.br/product/291174073/23618360276,https://s.shopee.com.br/4fk9EutNv3
22098357940,Kit 3 Unidades Manta Soft Microfibra Para Bebê Infantil Inverno Estampada 100cm x 80cm,"R$39,99","8,3mil",magiainfantil,8%,"R$3,20",https://shopee.com.br/product/1017646777/22098357940,https://s.shopee.com.br/5AgPpprTuA
19797977792,Bomba Elétrica Automática + 10 Sacos Para Armazenamento de Leite Portátil,"R$59,98","17,9mil",NOVASHOP_BRASIL,8%,"R$4,80",https://shopee.com.br/product/1170622375/19797977792,https://s.shopee.com.br/50MzdWs7F9
22492851439,Caixa Kit Com 300  Lenços/Toalhas Umedecida  Kit Higiene Bebe Promoção,"R$8,99","86,8mil",CantinhoBabysp,3%,"R$0,27",https://shopee.com.br/product/378105312/22492851439,https://s.shopee.com.br/2qIV3Y0Mdk
23797971680,"Brinquedo Pato Patinho Dançante Musical Dança, Anda, Mexe, com Luz E Som","R$40,49","19,8mil",Toys Universe_Loja de Brinquedos,3%,"R$1,21",https://shopee.com.br/product/1362994409/23797971680,https://s.shopee.com.br/2fz4rF0zyj
26184218965,SUMIKKO 50 e 100 unidades Infantil Calça Fraldas Ajustável total max Baby P/M/G/XG/XXG/XXXG,"R$59,00","5,3mil",BE_LOVE.br,3%,"R$1,77",https://shopee.com.br/product/1509457194/26184218965,https://s.shopee.com.br/3AvLS9z5xq
22097911233,Kit 30 Un Saco Saquinhos Congelar Leite Maternidade Bebê,"R$23,90","13,1mil",pudian.br,3%,"R$0,72",https://shopee.com.br/product/1283685748/22097911233,https://s.shopee.com.br/30bvFqzjIp
22397507411,Kit 13 Higiene Cuidado Bebê Recém Nascido Essencial 13 Peças Cuidados Com O Bebê Recém Cortador Escova Cabelo Unha Pente,"R$20,00","72,7mil",ADS-store,7%,"R$1,40",https://shopee.com.br/product/372103398/22397507411,https://s.shopee.com.br/3VYBqlxpHw
23597617213,Kit 4 girafas estica e gruda melman pop it tubo tiktok com luz brinquedo para crianças promoção,"R$11,90",30mil,C&C Toys,13%,"R$1,55",https://shopee.com.br/product/754101507/23597617213,https://s.shopee.com.br/3LEleSyScv
18297665963,Fraldas de pano kit com 10 unidades 60x60cm 100% algodão Minasrey Bebê Babete Toalinha Babita Paninho Estampado,"R$26,99","25,5mil",CantinhoBabysp,3%,"R$0,81",https://shopee.com.br/product/378105312/18297665963,https://s.shopee.com.br/3qB2FNwYc2
22097931353,6 Frascos / Potes Vidro P/ Leite Materno - Graduação 200ml,"R$31,86","9,1mil",Potes e Cia,3%,"R$0,96",https://shopee.com.br/product/1372780738/22097931353,https://s.shopee.com.br/3frc34xBx1
18097691606,"Toalha de Banho Fralda Soft com Capuz para Bebê  OU  Kit com 2, 3 ou 4 Toalhas","R$36,99",33mil,CantinhoBabysp,3%,"R$1,11",https://shopee.com.br/product/378105312/18097691606,https://s.shopee.com.br/70841CkVBg
23998078919,Tapete Atividades Móbile Infantil Bebê Musical Ginásio Piano Mega Compras,"R$79,90","13,6mil",Mega Compras Oficial,9%,"R$7,19",https://shopee.com.br/product/762139988/23998078919,https://s.shopee.com.br/7ARUDVjrqj
23493224794,Fralda Pampers Confort Sec Super Tamanho G 60 Unidades,"R$117,55","2,9mil", Pampers By Sage's,3%,"R$3,53",https://shopee.com.br/product/1062557396/23493224794,https://s.shopee.com.br/6fVDcallre
19132144851,Kit 3 Lençol de Berço  Americano Avulso Percal 400 Fios com Elástico,"R$29,65","23,9mil",ARMARINHOS HH,15%,"R$4,45",https://shopee.com.br/product/367895429/19132144851,https://s.shopee.com.br/6podotl8Wh
14066947765,Kit com 03 Pacotes de Toalhas Umedecidas Infância Feliz - 150 Folhas - Vegano - Com Tampa,"R$19,75","40,3mil",ATACADO DA PERFUMARIA - OFICIAL,8%,"R$1,58",https://shopee.com.br/product/673495060/14066947765,https://s.shopee.com.br/7fNkoQhxps
19098025692,Brinquedo Patinho Pato Dançarino Musical Com Som Luz Infantil,"R$42,49","11,8mil",Faecommerce,13%,"R$5,52",https://shopee.com.br/product/390381339/19098025692,https://s.shopee.com.br/7phB0jhKUv
20299229642,Kit Enxoval Cueiro e Paninho de boca ( 9 PEÇAS ),"R$31,99","49,2mil",CantinhoBabysp,3%,"R$0,96",https://shopee.com.br/product/378105312/20299229642,https://s.shopee.com.br/7KkuPojEVq
22995516214,4/12/20 Peças Protetor De Quina Silicone Mesa Segurança Para Crianças E Bebes Proteção Promoção,"R$5,86","19,9mil",BEST MO,15%,"R$0,88",https://shopee.com.br/product/569114904/22995516214,https://s.shopee.com.br/7V4Kc7ibAt
19506798179,Kit com 10 Pacotes de Toalhas Umedecidas Turminha da Bagunça - 120 Folhas com tampa flip top,"R$59,50","55,9mil",ATACADO DA PERFUMARIA - OFICIAL,8%,"R$4,76",https://shopee.com.br/product/673495060/19506798179,https://s.shopee.com.br/5fcgQkpZtY
23197975387,Buba Porta Frutinha para bebê,"R$19,90","18,8mil",CantinhoBabysp,3%,"R$0,60",https://shopee.com.br/product/378105312/23197975387,https://s.shopee.com.br/5pw6d3owYb
23498044742,Kits Rosquinha de Amamentação Protetor 100% Algodão Macio,"R$11,40","12,8mil",Tete Confecções,23%,"R$2,62",https://shopee.com.br/product/982283887/23498044742,https://s.shopee.com.br/5Kzq28qqZW
21399300756,Pelúcia Lilo E Stitch Disney 20cm - Pronta Entrega - Super Promoção,"R$31,00","12,5mil",123Brincando,3%,"R$0,93",https://shopee.com.br/product/1290613827/21399300756,https://s.shopee.com.br/5VJGERqDEZ
23397586855,Kit Com 420 Lenço Umedecido/3 Pacotes- Upa Bebê Promoção,"R$25,99","24,4mil",CantinhoBabysp,3%,"R$0,78",https://shopee.com.br/product/378105312/23397586855,https://s.shopee.com.br/6KsNDyn2Xk
16356325552,Kits - Rosquinha de Amamentação - Protetor 100% Algodão,"R$9,90","67,4mil",Naty Atelier,3%,"R$0,30",https://shopee.com.br/product/390775050/16356325552,https://s.shopee.com.br/6VBnQHmPCn
23193874422,Kit 3 Unidades Manta Brilha No Escuro Para Bebê Infantil Inverno Estampada 100cm x 80cm,"R$39,99","4,6mil",magiainfantil,8%,"R$3,20",https://shopee.com.br/product/1017646777/23193874422,https://s.shopee.com.br/60FWpMoJDi
23997497739,Brinquedos Bloco de Montar Com Rodinhas 100 Pçs Casinha Caminhão Trem Menina/Menino Otima Qualidade,"R$19,90","25,4mil",Brincar&Aprender Educacional,10%,"R$1,99",https://shopee.com.br/product/348722139/23997497739,https://s.shopee.com.br/6AYx1fnfsl
17039397590,Kit com 10 Pacotes de Lenços Umedecidos Turminha da Bagunça 120 Folhas 19x13 cm - com Tampa Flip Top,"R$59,80","42,1mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$4,19",https://shopee.com.br/product/604069672/17039397590,https://s.shopee.com.br/9f8pC6aLmS
22797829056,Talheres bebê silicone 6/8 Peças kit Talheres Infantil Com Ventosa Canudo Colher Babador Garfo,"R$42,90","26,3mil",BHJ ELETRONICO,3%,"R$1,29",https://shopee.com.br/product/328239547/22797829056,https://s.shopee.com.br/9pSFOPZiRV
19898672322,Kit 10 Saquinhos Maternidade Multiuso Organizador Nécessaire Envelope Com Zíper,"R$24,90","59,4mil",J.R. Variedades,3%,"R$0,75",https://shopee.com.br/product/255636032/19898672322,https://s.shopee.com.br/9KVynUbcSQ
19899546700,Kit 12 Ursinho De Pelúcia De Xadrez Desenho Animado Cheveiro De Bolsa De Brinquedo Multineos,"R$39,00","7,6mil",monica acessorios,3%,"R$1,17",https://shopee.com.br/product/409967151/19899546700,https://s.shopee.com.br/9UpOznaz7T
22196227745,Cortador Aparador De Unha Elétrico Lixa Bebê Infantil,"R$22,90","26,7mil",Inovar Top,11%,"R$2,52",https://shopee.com.br/product/944725778/22196227745,https://s.shopee.com.br/AKOVzKXoQe
20199334461,Kit com 2 Cremes Pomada de Assadura 120gr Cada - Bepantol,"R$119,90","7,7mil",Bayer Oficial,3%,"R$3,60",https://shopee.com.br/product/727280012/20199334461,https://s.shopee.com.br/AUhwBdXB5h
22792926961,Cueiro Estampado Flanelado Bebê Kit 3 Unidades 80X50CM Papi/Incomfral,"R$19,99","25,6mil",CantinhoBabysp,3%,"R$0,60",https://shopee.com.br/product/378105312/22792926961,https://s.shopee.com.br/9zlfaiZ56c
22598229413,Pronúncia Portátil Máquina De Cartões De Aprendizagem Oral Kids Educational Toys（Português e Inglês）,"R$34,90","5,4mil",NEWCOOL,7%,"R$2,44",https://shopee.com.br/product/643719371/22598229413,https://s.shopee.com.br/AA55n1YRlf
19499333667,Banheira de bebe 22L Resistente Infantil Menina Menino Design Anatômico,"R$27,99","31,5mil",CantinhoBabysp,3%,"R$0,84",https://shopee.com.br/product/378105312/19499333667,https://s.shopee.com.br/8KdRbefQUK
20397657778,Kit Bebe Infantil 14 Peças 6 Paninho de Boca 5 Fralda de Pano 3 Cueiro Flanelado 100% Algodão Enxoval de Bebê,"R$69,99","6,4mil",Drogaria GeralFarma,7%,"R$4,90",https://shopee.com.br/product/212844114/20397657778,https://s.shopee.com.br/8Uwrnxen9N
21977220271,2 Unidades Manta Cobertor Brilha No Escuro Infantil Felpudo 1m x 80cm,"R$29,70","3,5mil",FalaPatrão,3%,"R$0,89",https://shopee.com.br/product/431466978/21977220271,https://s.shopee.com.br/800bD2ghAI
18899359612,Kit Brinquedo Bebe Chocalho Mordedor Silicone Macio Bola Colorida 8 Peça Presente Para Menina e Menino Móbile para Berço,"R$33,00","13,2mil",happytonia,8%,"R$2,64",https://shopee.com.br/product/385632559/18899359612,https://s.shopee.com.br/8AK1PLg3pL
23095510232,ANA 1108 Kit Bebê cuidados de Higiene com 10 itens,"R$19,99","27,4mil",ANA 1108,3%,"R$0,60",https://shopee.com.br/product/418205294/23095510232,https://s.shopee.com.br/8zt8Osct8W
23992941253,Kit 11 Peças - 5 Fraldas 60x60cm + 6 Paninho de Boca 30x30cm 100% Algodão Grande Macias Estampadas,"R$27,99","20,4mil",CantinhoBabysp,3%,"R$0,84",https://shopee.com.br/product/378105312/23992941253,https://s.shopee.com.br/9ACYbBcFnZ
22597491125,Cobertor de Bebe Soft Mantinha Extra Macia 80 x 100cm 10 Cores Disponiveis,"R$26,90","30,3mil",La Tutti Baby,13%,"R$3,50",https://shopee.com.br/product/319541592/22597491125,https://s.shopee.com.br/8fGI0Ge9oU
19897919218,Kit Seringa E  Aspirador Lavagem Limpeza Nasal E Escova De dedo Bebês,"R$6,99","4,3mil",BLUE BLUE,3%,"R$0,21",https://shopee.com.br/product/1148554752/19897919218,https://s.shopee.com.br/8pZiCZdWTX
22192689112,Toalha de Banho Bebê Felpuda Capuz Infantil Recém Nascido Com Orelhinha Menino e Menina,"R$29,59","33,8mil",Globilia Seleção Oficial,14%,"R$4,14",https://shopee.com.br/product/542974007/22192689112,https://s.shopee.com.br/1g6XfP4o1A
22597400480,Cavalinho Upa Upa inflavel Pocoto Brinquedo Pula Pula Musica Infantil Com Musica e Led,"R$45,90","29,9mil",Vidaro Shop,10%,"R$4,59",https://shopee.com.br/product/1188919380/22597400480,https://s.shopee.com.br/1qPxri4AgD
23492963102,12 Unidades Pano de Boca Bebe Fralda de Boca Babete 100% Algodão 30cm x 30cm,"R$26,98","39,9mil",magiainfantil,8%,"R$2,16",https://shopee.com.br/product/1017646777/23492963102,https://s.shopee.com.br/1LThGn64h8
20297670022,Cueiro Estampado Flanelado Bebê Kit 3 Unidades 80X50CM Papi/Incomfral,"R$19,99","35,1mil",Emporio DK Produtos Infantis,3%,"R$0,60",https://shopee.com.br/product/1045804093/20297670022,https://s.shopee.com.br/1Vn7T65RMB
19798986672,Toalha De Banho Bebê Capuz Roupão Infantil Recém Nascido Criança Bichinho Absorvente ref: YB-006,"R$29,90","19,9mil",Loja Fonte ,3%,"R$0,90",https://shopee.com.br/product/763681723/19798986672,https://s.shopee.com.br/2LMESd2GfM
22393141307,Brinquedo Caranguejo Fujão Musical Som Luz E Movimento Infantil Para Bebês,"R$29,88","37,9mil",Babyland ,15%,"R$4,48",https://shopee.com.br/product/443191322/22393141307,https://s.shopee.com.br/2Vfeew1dKP
23193586364,Fraldas Descartáveis Atacado Barato Enzzo Baby Pacotão Todos os tamanhos,"R$39,99",9mil,TutaStore,10%,"R$4,00",https://shopee.com.br/product/1425011876/23193586364,https://s.shopee.com.br/20jO413XLK
23492793076,Chupeta Alimentadora Bebe Para Frutas Com Tampa Higiênica Prática Com Bico De Mamadeira Macio,"R$11,49",37mil,BLUE BLUE,3%,"R$0,34",https://shopee.com.br/product/1148554752/23492793076,https://s.shopee.com.br/2B2oGK2u0N
21499179471,Kit higiene do coto UMBILICAL do Bebê,"R$14,80","27,1mil",CantinhoBabysp,3%,"R$0,44",https://shopee.com.br/product/378105312/21499179471,https://s.shopee.com.br/LbA4x9sj2
23797752726,Tapete de Atividades Musical com Piano Interativo e Móbiles para Bebê - ColorBaby,"R$79,89","7,9mil",ColorBaby,3%,"R$2,40",https://shopee.com.br/product/1352493725/23797752726,https://s.shopee.com.br/VuaHG9FO5
20297809121,"Baba Eletrônica Com Monitor Visão Noturna, Câmera c/ Audio Sensor de Temperatura  ALEX","R$275,88",11mil,Alex.store,3%,"R$8,28",https://shopee.com.br/product/478697224/20297809121,https://s.shopee.com.br/yJgLB9P0
22498321634,Assento Sanitário Infantil Troninho Penico para Menina e Menino Mini Privada com Tampa,"R$20,48","3,5mil",CasaAzul-Utilidades,8%,"R$1,64",https://shopee.com.br/product/984845442/22498321634,https://s.shopee.com.br/BHjseAW43
21499179448,420 Toalhas Umedecidas/3 Pacotes- Upa Bebê Promoção,"R$25,99","52,7mil",CantinhoBabysp,3%,"R$0,78",https://shopee.com.br/product/378105312/21499179448,https://s.shopee.com.br/10qqsB7LNE
23092409051,Barraca Infantil Rosa Flor Grande 1.3M Menina Princesa Criança Azul Estrela Menor Preço Promocao,"R$49,00","20,5mil",GoseOficialBR,8%,"R$3,92",https://shopee.com.br/product/476198790/23092409051,https://s.shopee.com.br/1BAH4U6i2H
22791223357,kit Protetores De Quina Silicone Redondo Para Crianças E Bebes Proteção Promoção,"R$6,99","25,5mil",P&H  Oficial,23%,"R$1,61",https://shopee.com.br/product/832040275/22791223357,https://s.shopee.com.br/gE0TZ8c3C
22293121384,Kit C/3 Babador Bandana de Bebê 100% Algodão 23cm x 18cm Batistela Baby - Sortidas,"R$20,90","16,8mil",Cheirinho De Nenem,7%,"R$1,46",https://shopee.com.br/product/821374546/22293121384,https://s.shopee.com.br/qXQfs7yiF
23897607826,Kit 13 Higiene Cuidado Bebê Recém Nascido Essencial 13 Peças Cuidados Com O Bebê Recém Recém,"R$28,90","9,2mil",JinJin ,3%,"R$0,87",https://shopee.com.br/product/1104525762/23897607826,https://s.shopee.com.br/4L7IqIuebw
26570853071,Kit 2 Quadro-Negro Mágico Tela LCD 8.5/10/12 Polegadas Tablet Infantil Para Escrita E Desenho,"R$12,99","9,8mil",Bloom..br,3%,"R$0,39",https://shopee.com.br/product/1354787518/26570853071,https://s.shopee.com.br/4VQj2bu1Gz
23232308359,"Colchão para carrinho Moises Colchonete carrinho com fronha 100% algodao Menino, Menina e Neutro","R$26,00","35,8mil",Maratona do Bebê,11%,"R$2,86",https://shopee.com.br/product/344410462/23232308359,https://s.shopee.com.br/40USRgvvHu
8490684267,Babá Eletrônica Câmera Sem Fio Visão Noturna Infravermelho,"R$69,22","83,6mil",Neverdie Store,3%,"R$2,08",https://shopee.com.br/product/409164022/8490684267,https://s.shopee.com.br/4AnsdzvHwx
